"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"IMF.FAD:FM(2.0.0)","ARG.GGCBP_G01_PGDP_PT.A","OBS_VALUE","Argentina","Cyclically adjusted primary balance, Percent of potential GDP","Annual","Units","","","","-0.209717811","0.546764163","-0.512652251","-0.38878643","-0.704811014","-1.271824744","-0.503141241","-1.335907994","2.394839944","4.381809273","5.565271297","5.041493604","2.878534788","1.317290291","0.796139005","1.578493096","-0.47285532","-2.552926542","-1.620815749","-2.994719069","-2.695740186","-4.61254803","-4.123806587","-4.683592651","-1.813395723","0.501082891","-2.763267772","-1.745823532","-2.334881002","-1.70142978","3.99030431","4.153772424","3.892652414","3.623453487","3.584852744","3.748105422"
"IMF.FAD:FM(2.0.0)","ARG.GGCB_G01_PGDP_PT.A","OBS_VALUE","Argentina","Cyclically adjusted balance, Percent of potential GDP","Annual","Units","","","","-1.674257977","-1.094152426","-2.373136667","-2.611357441","-3.26814241","-4.49383828","-4.365318127","-5.584241002","0.416208903","2.689405819","4.333261718","3.221469652","1.215500683","-0.556217728","-0.769935263","0.320068045","-1.327058456","-3.744507478","-2.939818351","-3.614773987","-3.431931968","-6.20364557","-5.985022714","-7.1794795","-4.970615918","-3.428735453","-4.98864824","-3.511818991","-4.48790833","-4.085667207","1.926780199","2.013122975","0.361155991","1.442120287","1.475468569","1.878748956"
"IMF.FAD:FM(2.0.0)","ARG.GGR_G01_GDP_PT.A","OBS_VALUE","Argentina","Revenue, General government, Percent of GDP","Annual","Units","","","","21.68776822","20.78783798","19.87616806","20.74817602","21.30297517","21.7662015","21.83048659","21.06835289","19.94290425","23.52603371","26.99642711","27.76618315","28.26673209","30.30756264","31.11432064","32.69439152","31.96461396","32.15625208","33.80336754","34.34910503","34.60050241","35.36577202","34.86735169","34.42811289","33.50806281","33.68429996","33.80516838","33.45837274","33.9599538","32.19131646","34.54973096","34.87315368","34.68164112","34.7965593","34.87430696","35.06195314"
"IMF.FAD:FM(2.0.0)","ARG.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Argentina","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","-1.249802355","-2.074606161","-2.810610432","-1.837621355","-1.827434359","-3.705086124","-3.416751183","-5.364146344","-1.910149902","1.500146081","3.96689503","3.340623023","1.650070275","0.756974472","0.351972892","-1.830044406","-1.393454664","-2.74564846","-3.0180556","-3.253828427","-4.252429085","-6.000558031","-6.654668983","-6.693341132","-5.44114523","-4.444757668","-8.674071393","-4.321065118","-3.853772068","-4.246243068","0.0091","0.66150411","-0.422487682","1.179042235","1.475172717","1.878051934"
"IMF.FAD:FM(2.0.0)","ARG.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Argentina","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","0.147192124","-0.408224911","-0.965789194","0.25219401","0.521270094","-0.659310692","0.21119412","-1.251648109","0.234949394","3.226373896","5.219480731","5.151817629","3.286041875","2.549626835","1.864627221","-0.487913724","-0.5384479","-1.587371097","-1.695818615","-2.63968437","-3.50002654","-4.417828064","-4.762199045","-4.228378887","-2.237986081","-0.406549349","-6.240238945","-2.519124453","-1.735727909","-1.847538167","2.201667292","2.884862827","3.189199661","3.376925077","3.584054868","3.746843456"
"IMF.FAD:FM(2.0.0)","ARG.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Argentina","Gross debt, Percent of GDP","Annual","Units","","","26.89271391","28.42598327","30.74937987","32.55075272","31.67579873","34.14687999","38.91698626","40.83283885","48.00661871","147.2025483","125.1616342","117.8778484","80.28179898","70.79268956","62.13271077","53.81385162","55.39708036","43.45431548","38.93485442","40.43604801","43.49606978","44.6968502","52.56264331","53.06017955","57.02784192","85.24631042","89.83968781","103.8158144","80.82042557","84.68469849","154.5363355","86.20045775","79.52051055","69.49017424","59.79429603","53.49387296","47.90963267"
"IMF.FAD:FM(2.0.0)","ARG.G_X_G01_GDP_PT.A","OBS_VALUE","Argentina","Expenditure, Percent of GDP","Annual","Units","","","","22.93757057","22.86244414","22.68677849","22.58579737","23.13040953","25.47128762","25.24723778","26.43249924","21.85305415","22.02588763","23.02953208","24.42556013","26.61666182","29.55058817","30.76234775","34.52443593","33.35806863","34.90190054","36.82142314","37.60293345","38.8529315","41.36633005","41.52202068","41.12145402","38.94920804","38.12905762","42.47923977","37.77943786","37.81372586","36.43755953","34.54063586","34.21164957","35.10412881","33.61751707","33.39913425","33.18390121"
"IMF.FAD:FM(2.0.0)","ARM.GGR_G01_GDP_PT.A","OBS_VALUE","Armenia, Republic of","Revenue, General government, Percent of GDP","Annual","Units","","","","26.15177944","17.83681059","15.40950184","15.75067671","17.14613148","19.3344694","16.49440738","17.04601622","16.74395519","15.21659571","15.4567698","17.89478349","18.0500508","20.08542959","20.47944949","20.86701228","21.22110321","22.08951852","20.92139064","22.203794","22.04803111","21.49394224","21.41550028","21.24162291","22.29817293","23.92498741","25.24553723","24.08302341","24.2679814","24.82857943","24.87821461","24.97736413","25.47125376","25.615626","25.71044274","25.80566885"
"IMF.FAD:FM(2.0.0)","ARM.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Armenia, Republic of","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","-1.95039657","-2.334230983","-1.756524471","-7.686464728","-4.979424966","-2.874853729","-1.493404369","-1.592885554","-1.942693084","-4.836849405","-5.632308736","-4.78505359","-1.751595157","-0.977300943","-5.402747224","-4.583519606","-2.11098045","-2.016593725","-4.609439464","-4.632862138","-4.255628881","-3.755599897","-3.530079567","-3.236189759"
"IMF.FAD:FM(2.0.0)","ARM.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Armenia, Republic of","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","-1.610660166","-2.018066994","-1.465197763","-7.170920513","-4.10694621","-1.9423011","-0.550983515","-0.566794504","-0.6660544","-3.36798551","-3.692883434","-2.632830649","0.558760266","1.430538825","-2.739964266","-1.997106001","0.221718489","0.650128705","-1.51558541","-1.474987402","-1.008524879","-0.460426674","-0.271450442","-0.0443"
"IMF.FAD:FM(2.0.0)","ARM.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Armenia, Republic of","Gross debt, Percent of GDP","Annual","Units","","","","","","","46.51459222","45.20030519","39.20037787","39.59711599","38.06111594","38.2476038","33.015776","26.44587792","24.40491734","18.72500695","16.10173417","16.14500671","40.16125052","39.66653048","42.00603371","41.22515869","40.85631502","43.68925508","48.70167975","56.74858445","58.93770497","55.65474004","53.67314642","67.36196881","63.31512639","49.24656955","50.45745172","53.14319798","53.66899179","53.835342","53.54573205","53.38018537","52.44312736"
"IMF.FAD:FM(2.0.0)","ARM.G_X_G01_GDP_PT.A","OBS_VALUE","Armenia, Republic of","Expenditure, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","20.00044737","22.41966058","22.23597396","28.55347701","26.20052817","24.96437225","22.41479501","23.79667955","23.99072419","26.33079165","27.04780902","26.0266765","24.04976809","24.90228835","30.64828445","28.66654301","26.37896185","26.84517316","29.48765408","29.61022626","29.72688264","29.3712259","29.2405223","29.04185861"
